Date,Close
7/22/2021 16:00:00,63.48
7/23/2021 16:00:00,63.71
7/26/2021 16:00:00,65.54
7/27/2021 16:00:00,65.58
7/28/2021 16:00:00,67.3
7/29/2021 16:00:00,67.64
7/30/2021 16:00:00,66.97
8/2/2021 16:00:00,66.4
8/3/2021 16:00:00,69.01
8/4/2021 16:00:00,64.18
8/5/2021 16:00:00,65.71
8/6/2021 16:00:00,66.5
8/9/2021 16:00:00,66
8/10/2021 16:00:00,66.9
8/11/2021 16:00:00,66.84
8/12/2021 16:00:00,67.25
8/13/2021 16:00:00,66.25
8/16/2021 16:00:00,64.54
8/17/2021 16:00:00,63.51
8/18/2021 16:00:00,62.24
8/19/2021 16:00:00,60.24
8/20/2021 16:00:00,60.2
8/23/2021 16:00:00,63.11
8/24/2021 16:00:00,65.23
8/25/2021 16:00:00,66.34
8/26/2021 16:00:00,65.46
8/27/2021 16:00:00,67.11
8/30/2021 16:00:00,66.02
8/31/2021 16:00:00,66.31
9/1/2021 16:00:00,63.95
9/2/2021 16:00:00,65.2
9/3/2021 16:00:00,64.7
9/7/2021 16:00:00,65.52
9/8/2021 16:00:00,63.7
9/9/2021 16:00:00,63.54
9/10/2021 16:00:00,63.41
9/13/2021 16:00:00,66.18
9/14/2021 16:00:00,64.7
9/15/2021 16:00:00,66.51
9/16/2021 16:00:00,65.46
9/17/2021 16:00:00,65.6
9/20/2021 16:00:00,62.97
9/21/2021 16:00:00,63.32
9/22/2021 16:00:00,65.32
9/23/2021 16:00:00,67.17
9/24/2021 16:00:00,67.63
9/27/2021 16:00:00,70.78
9/28/2021 16:00:00,71.17
9/29/2021 16:00:00,70.31
9/30/2021 16:00:00,70.57
10/1/2021 16:00:00,73.62
10/4/2021 16:00:00,75.02
10/5/2021 16:00:00,74.3
10/6/2021 16:00:00,75.37
10/7/2021 16:00:00,75.9
10/8/2021 16:00:00,78.6
10/11/2021 16:00:00,77.8
10/12/2021 16:00:00,78.92
10/13/2021 16:00:00,78.14
10/14/2021 16:00:00,79.17
10/15/2021 16:00:00,78.66
10/18/2021 16:00:00,78.13
10/19/2021 16:00:00,80.15
10/20/2021 16:00:00,81.04
10/21/2021 16:00:00,82
10/22/2021 16:00:00,80.99
10/25/2021 16:00:00,82.69
10/26/2021 16:00:00,81.88
10/27/2021 16:00:00,78.67
10/28/2021 16:00:00,78.46
10/29/2021 16:00:00,77.33
11/1/2021 16:00:00,78.02
11/2/2021 16:00:00,75.86
11/3/2021 16:00:00,75.88
11/4/2021 16:00:00,76.35
11/5/2021 16:00:00,77.92
11/8/2021 16:00:00,77.78
11/9/2021 16:00:00,78.25
11/10/2021 16:00:00,76.86
11/11/2021 16:00:00,77.22
11/12/2021 16:00:00,76.58
11/15/2021 16:00:00,77.35
11/16/2021 16:00:00,77.94
11/17/2021 16:00:00,73.45
11/18/2021 16:00:00,72.96
11/19/2021 16:00:00,69.07
